"verb","noun","plural","provenance","kind","obs"
"alongar","alongamento","alongamentos","nomage: allongement",NA,""
"alterar","alteração","alterações","nomlex",NA,""
"alternar","alternador",NA,NA,"agent",""
"alternar","alternativa","alternativas","nomlex",NA,""
"alucinar","alucinação","alucinações","enwiktionary:pt",NA,""
"aludir","alusão","alusões","nomlex",NA,""
"alugar","alugador",NA,NA,"agent",""
"alugar","aluguel","aluguéis","nomlex","lex",""
"amalgamar","amalgamante",NA,NA,"agent",""
"amalgamar","amalgamação","amalgamações","nomlex",NA,""
"amamentar","amamentação","amamentações","enwiktionary:pt",NA,""
"amar","amante","amantes","nomlex","agent; lex",""
"amar","amador","amadores","nomlex","lex",""
"amargar","amargura",NA,"openWordnet-PT",NA,NA
"amassar","amassadura",NA,"openWordnet-PT",NA,NA
"ambientar","ambiente","ambientes","nomage: environnement",NA,""
"ameaçar","ameaça","ameaças","nomlex",NA,""
"amedrontar","amedrontamento","amedrontamentos","nomlex",NA,""
"amortecer","amortecedor","amortecedores","nomlex","agent; lex",""
"amortizar","amortizador",NA,NA,"agent",""
"amortizar","amortização","amortizações","nomlex",NA,""
"amostrar","amostragem","amostragens","nomage: prélèvement",NA,""
"ampliar","ampliação",NA,"dhbb",NA,NA
"amplificar","amplificador",NA,NA,"agent",""
"amplificar","amplificação","amplificações","nomage: amplification",NA,""
"amputar","amputação","amputações","nomage: amputation",NA,""
"analizar","análise","análises","nomlex","event; result; lex",""
"andar","andadura",NA,"openWordnet-PT",NA,NA
"anexar","anexo","anexos","nomage: annexion",NA,""
"animar","animação","animações","nomlex","other; lex",""
"aniquilar","aniquilador",NA,NA,"agent",""
"aniquilar","aniquilamento","aniquilamentos","nomlex",NA,""
"antecipar","antecipação","antecipações","nomlex",NA,""
"anular","anulação","anulações","nomlex",NA,""
"anunciar","anunciador","anunciadores","nomlex","agent",""
"anunciar","anunciante",NA,NA,"agent",""
"anunciar","anunciamento","anunciamentos","nomlex",NA,""
"anunciar","anúncio","anúncios","nomlex",NA,""
"apagar","apagador","apagadores","enwiktionary:pt","agent; lex",""
"aparecer","aparência","aparências","nomlex","lex",""
"aparecer","aparição","aparições","nomlex",NA,""
"apelar","apelante",NA,NA,"agent",""
"apelar","apelo","apelos","nomlex",NA,""
"apelar","apelação","apelações","nomage: appellation",NA,""
"aperfeiçoar","aperfeiçoamento","aperfeiçoamentos","nomlex",NA,""
"apertar","aperto","apertos","enwiktionary:en",NA,""
"aplicar","aplicante","aplicantes","","agent",""
"aplicar","aplicador",NA,NA,"agent",""
"aplicar","aplicação","aplicações","nomlex","lex",""
"aplicar","aplicabilidade","aplicabilidades","enwiktionary:en",NA,""
"aplicar","aplicativo","aplicativos","framenet","other; lex",""
"apoiar","apoiador","apoiadores","framenet","agent",""
"apoiar","apoio",NA,"dhbb",NA,NA
"aposentar","aposentado","aposentados","nomlex","agent",""
"aposentar","aposentadoria","aponsetadorias","nomlex",NA,""
"aposentar","aposentamento","aposentamentos","framenet",NA,""
"apostar","apostador","apostadores","nomlex","agent",""
"apostar","aposta","apostas","framenet",NA,""
"apreciar","apreciador",NA,NA,"agent",""
"apreciar","apreciação","apreciações","nomlex",NA,""
"apreender","apreensão","apreensões","nomlex",NA,""
"aprender","aprendiz","aprendizes",NA,"agent",""
"aprender","aprendizado","aprendizados","enwiktionary:pt",NA,""
"aprender","aprendizagem","aprendizagens","nomage: apprentissage",NA,""
"apresentar","apresentador",NA,NA,"agent",""
"apresentar","apresentação","apresentações","nomlex",NA,""
"aprimorar","aprimoramento","aprimoramentos","nomlex",NA,""
"aprisionar","aprisionado","aprisionados","nomlex",NA,""
"aprisionar","aprisionamento","aprisionamentos","enwiktionary:pt",NA,""
"aprisionar","prisioneiro","prisioneiros","",NA,""
"apropriar","apropriador",NA,NA,"agent",""
"apropriar","apropriação","apropriações","nomlex",NA,""
"aprovar","aprovado",NA,NA,"agent",""
"aprovar","aprovação","aprovações","nomlex",NA,""
"aproximar","aproximante","aproximantes","","agent",""
"aproximar","aproximação","aproximações","nomlex",NA,""
"apurar","apurador","apuradores","","agent",""
"apurar","apuração","apurações","nomlex",NA,""
"aquecer","aquecedor","aquecedores","nomlex","lex",""
"aquecer","aquecimento","aquecimentos","nomage: réchauffement",NA,""
"arbitrar","árbitro","árbitros",NA,"agent",""
"arbitrar","arbitro",NA,NA,"agent",""
"arbitrar","arbitração","arbitrações","nomlex",NA,""
"arbitrar","arbitragem","arbitragem","nomage: arbitrage",NA,""
"arbitrar","arbítrio","arbítrios",NA,NA,""
"arcabuzar","arcabuzaria","arcabuzarias","enwiktionary:en",NA,""
"argumentar","argumentador",NA,NA,"agent",""
"argumentar","argumento","argumentos","nomlex",NA,""
"armar","armada","armadas","nomlex",NA,""
"armar","armadura",NA,"openWordnet-PT",NA,NA
"armar","arma",NA,"dhbb",NA,NA
"armazenar","armazenador",NA,NA,"agent",""
"armazenar","armazenagem","armazenagens","nomlex",NA,""
"armazenar","armazenamento","armazenamentos","nomlex",NA,""
"arpoar","arpoador","arpoadores","enwiktionary:en","agent",""
"arrancar","arranco","arrancos","enwiktionary:en",NA,""
"arrancar","arranque","arranques","nomlex",NA,""
"arranhar","ranhura",NA,"openWordnet-PT",NA,NA
"arranhar","arranhadura",NA,"openWordnet-PT",NA,NA
"arranjar","arranjador","arranjadores","","agent",""
"arranjar","arranjo","arranjos","nomlex",NA,""
"arrebatar","arrebatamento","arrebatamentos","nomage: ravissement",NA,""
"arrecadar","arrecadação",NA,"dhbb",NA,NA
"arrepender","arrependimento","arrependimentos","nomlex",NA,""
"arrombar","arrombador",NA,NA,"agent",""
"arrombar","arrombamento","arrombamentos","nomlex","lex",""
"arrumar","arrumador",NA,NA,"agent",""
"arrumar","arrumação","arrumações","nomlex","lex",""
"articular","articulação",NA,"dhbb",NA,NA
"ascender","ascensorista",NA,NA,"agent",""
"ascender","ascendente",NA,NA,"agent",""
"ascender","ascendência","ascendências","framenet","lex",""
"ascender","ascensão","ascensões","nomlex",NA,""
"aspirar","aspirador",NA,NA,"agent",""
"aspirar","aspiração","aspirações","nomlex","lex",""
"assaltar","assaltante","assaltantes","","agent",""
"assaltar","assalto","assaltos","enwiktionary:en",NA,""
"assar","assadura","assaduras","nomlex","result; lex",""
"assassinar","assassino","assassinos","nomlex","agent",""
"assassinar","assassinato","assassinatos","nomlex",NA,""
"assassinar","assassínio","assassínios","framenet",NA,""
"assegurar","segurador","seguradores","nomlex","agent",""
"assegurar","seguro","seguros","nomlex",NA,""
"assemelhar","semelhança","resemblances","nomlex",NA,""
"assentar","assentador","assentadores","","agent",""
"assentar","assento","assentos","enwiktionary:en",NA,""
"assentir","assentimento","assentimentos","nomlex",NA,""
"assertir","asserção","asserções","nomlex",NA,""
"assessorar","assessor","assessores","nomlex","agent",""
"assimilar","assimilador",NA,NA,"agent",""
"assimilar","assimilação","assimilações","nomage: assimilation",NA,""
"assinar","assinante",NA,NA,"agent",""
"assinar","assinatura","assinaturas","nomlex",NA,""
"assistir","assistente","assistentes",NA,"agent",""
"assistir","assistência","assistências","nomlex",NA,""
"associar","associado","associados",NA,"agent",""
"associar","associação","associações","nomlex",NA,""
"assombrar","assombro","assombros","enwiktionary:en",NA,""
"assombrar","assombração","assombrações","nomlex","other; lex",""
"atacar","atacante","atacantes",NA,"agent",""
"atacar","ataque","ataques","nomlex",NA,""
"atar","atadura",NA,"openWordnet-PT",NA,NA
"atender","atendente","atendentes","nomlex","agent",""
"atender","atenção","atenções","nomlex",NA,""
"atentar","atentado",NA,"dhbb",NA,NA
"atenuar","atenuante",NA,NA,"agent",""
"atenuar","atenuação","atenuações","nomage: atténuation","lex",""
"aterrissar","aterrissagem","aterrissagens","nomage: débarquement",NA,""
"atilar","atilamento","atilamentos","nomlex",NA,""
"ativar","ativador","ativadores",NA,"agent",""
"ativar","ativação","ativações","nomlex",NA,""
"ativar","atividade","atividades","nomlex",NA,""
"atrair","atração","atrações","nomlex",NA,""
"atrapalhar","trapalhão",NA,NA,"agent",""
"atrapalhar","atrapalhação","atrapalhações","nomlex",NA,""
"atrasar","atraso","atrasos","enwiktionary:en",NA,""
"atravessar","atravessador",NA,NA,"agent",""
"atravessar","travessia","travessias","nomage: franchissement",NA,""
"atribuir","atribuição","atribuições","nomlex",NA,""
"atualizar","atualização","atualizações","nomlex",NA,""
"atuar","ator",NA,NA,"agent",""
"atuar","atuação","atuações","nomlex","lex",""
"augurar","augúrio","augúrios","nomlex",NA,""
"aumentar","aumentação","aumentações","nomage: majoration",NA,""
"aumentar","aumento","aumentos","nomlex",NA,""
"automatizar","automação","automações","nomlex",NA,""
"automatizar","automatização","automatizações","nomage: automatisation",NA,""
"autorizar","autorizada",NA,NA,"agent",""
"autorizar","autorização","autorizações","nomlex","lex",""
"autorizar","autoridade",NA,"dhbb",NA,NA
"avaliar","avaliador","avaliadores","","agent",""
"avaliar","avaliação","avaliações","nomlex",NA,""
"avançar","avanço","avanços","nomlex",NA,""
"aventurar","aventura",NA,"openWordnet-PT",NA,NA
"averiguar","averiguador",NA,NA,"agent",""
"averiguar","averiguação","averiguações","nomlex",NA,""
"aviltar","aviltamento","aviltamentos","nomlex",NA,""
"avisar","aviso","avisos","nomlex",NA,""
"baixar","baixada","baixadas",NA,NA,""
"balançar","balanço","balanços","framenet","other; lex",""
"bancar","bancário","bancários","nomlex","lex",""
"bancar","banqueiro","banqueiros","nomlex","lex",""
"bancar","bancada",NA,"dhbb",NA,NA
"banir","banido",NA,NA,"agent",""
"banir","banimento","banimentos","nomlex",NA,""
"barrar","barragem","barragens","nomage: barrage",NA,""
"basear","base",NA,"dhbb",NA,NA
"batalhar","batalhador",NA,NA,"agent",""
"batalhar","batalha","batalhas","nomlex",NA,""
"batizar","batismo","batismos","framenet",NA,""
"batizar","batizado","batizados","enwiktionary:en",NA,""
"beirar","beirador","beiradores","","agent",""
"beirar","beira","beiras","enwiktionary:en",NA,""
"beneficiar","beneficiário","beneficiários","nomlex","agent",""
"beneficiar","benefício",NA,"dhbb",NA,NA
"benzer","benzedura",NA,"openWordnet-PT",NA,NA
"bloquear","bloqueador",NA,NA,"agent",""
"bloquear","blocagem","blocagens","nomlex",NA,""
"bloquear","bloqueio","bloqueios","nomlex",NA,""
"boiar","bóia","boias","nomlex",NA,""
"bombardear","bombardeamento","bombardeamentos","nomlex",NA,""
"bombear","bombeiro","bombeiros","nomlex","lex",""
"bombear","bomba","bombas","nomlex",NA,""
"bonificar","bonificação","bonificações","nomage: bonification",NA,""
"bordar","bordado","bordados","nomlex","lex",""
"bradar","brado","brados","enwiktionary:en",NA,""
"brigar","briga","brigas","framenet",NA,""
"brilhar","brilho","brilhos","framenet",NA,""
"brincar","brincadeira","brincadeiras","nomlex",NA,""
"brocar","broca","brocas","enwiktionary:en",NA,""
"brotar","brotador","brotadores","","agent",""
"brotar","broto","brotos","enwiktionary:en",NA,""
"bulhar","bulha","bulhas","enwiktionary:en",NA,""
"buscar","buscador","buscadores",NA,"agent",""
"buscar","busca","buscas","nomlex",NA,""
"cabecear","cabeceador",NA,NA,"agent",""
"cabecear","cabeceada","cabeceadas","nomlex",NA,""
"caçar","caçador","caçadores","nomlex","agent",""
"calar","calada","caladas","framenet","lex",""
"calcular","cálculo","cálculos","nomlex","other; lex",""
"calibrar","calibração","calibrações","nomlex",NA,""
"cambiar","câmbio","câmbios","nomlex","other; lex",""
"caminhar","caminhante",NA,NA,"agent",""
"caminhar","caminho","caminhos","framenet",NA,""
"cancelar","cancelamento","cancelamentos","nomlex",NA,""
"candidatar","candidato",NA,NA,"agent",""
"candidatar","candidatura","candidatura","nomage: candidature",NA,""
"cantar","cantor","cantores","nomlex","agent",""
"capitalizar","capitalista","capitalistas","","agent",""
"capitalizar","capitalização","capitalizações","nomlex",NA,""
"capitular","capitulação","capitulações","nomage: capitulation",NA,""
"captar","captação","captações","nomlex",NA,""
"capturar","captura","capturas","nomage: rattrapage",NA,""
"caracterizar","caracterização","caracterizações","nomlex",NA,""
"caricaturar","caricatura",NA,"openWordnet-PT",NA,NA
"carregar","carregador","carregadores","nomlex","agent",""
"carregar","carregamento","carregamentos","nomlex",NA,""
"casar","casamento","casamentos","enwiktionary:pt",NA,""
"cassar","cassação",NA,"dhbb",NA,NA
"castigar","castigo","castidos","enwiktionary:pt",NA,""
"catalisar","catalizador","catalizadores","","agent; lex",""
"catalisar","catalisação","catalisações","enwiktionary:en",NA,""
"catar","catadura",NA,"openWordnet-PT",NA,NA
"causar","causa","causas","nomlex",NA,""
"cavalgar","cavalgador","cavalgadores","nomlex","agent",""
"cavalgar","cavalgadura",NA,"openWordnet-PT",NA,NA
"cavar","cavador","cavadores","","agent",""
"cavar","cavada","cavadas","enwiktionary:en",NA,""
"ceder","cessão","cessões","nomlex",NA,""
"celebrar","celebrante",NA,NA,"agent",""
"celebrar","celebração","celebrações","nomlex",NA,""
"censurar","censura",NA,"openWordnet-PT",NA,NA
"centralizar","centralizador",NA,NA,"agent",""
"centralizar","centralização","centralizações","nomlex",NA,""
"centrar","centro",NA,"dhbb",NA,NA
"cercar","cerco","cercos","framenet",NA,""
"cercar","cercadura",NA,"openWordnet-PT",NA,NA
"cercear","cerceador",NA,NA,"agent",""
"cercear","cerceamento","cerceamentos","nomlex",NA,""
"certificar","certificado",NA,NA,"agent",""
"certificar","certificação","certificações","nomlex",NA,""
"cerzir","cerzidura",NA,"openWordnet-PT",NA,NA
"cessar","cessação","cessações","nomlex",NA,""
"cesurar","cesura",NA,"openWordnet-PT",NA,NA
"cevar","cevada","cevadas","enwiktionary:en",NA,""
"chacinar","chacinador","chacinadores","","agent",""
"chacinar","chacina","chacinas","enwiktionary:en",NA,""
"chamar","chamada","chamadas","nomlex",NA,""
"chanfrar","chanfratura",NA,"openWordnet-PT",NA,NA
"chantagear","chantagista",NA,NA,"agent",""
"chantagear","chantagem","chantagens","nomage: chantage",NA,""
"chapar","chapa",NA,"dhbb",NA,NA
"chefiar","chefe","chefes","framenet","agent",""
"chefiar","chefia",NA,"dhbb",NA,NA
"chegar","chegada","chegadas","nomlex",NA,""
"cheirar","cheiro","cheiros","framenet",NA,""
"chover","chuva","chuvas","framenet",NA,""
"chover","chuveiro","chuveiros","framenet",NA,""
"chuviscar","chuvisco","chuviscos","framenet",NA,""
"circular","circulador",NA,NA,"agent",""
"circular","circulação","circulações","nomlex","lex",""
"circuncidar","circuncisão","circuncisões","enwiktionary:en",NA,""
"citar","citação","citações","nomlex",NA,""
"civilizar","civilizador",NA,NA,"agent",""
"civilizar","civilização","civilizações","nomlex",NA,""
"clarificar","clarificação","clarificações","nomlex",NA,""
"classificar","classificação","classificações","nomlex",NA,""
"clivar","clivagem","clivagens","nomage: clivage",NA,""
"coabitar","coabitante",NA,NA,"agent",""
"coabitar","coabitação","coabitações","nomage: cohabitation",NA,""
"coagir","coerção","coerções","nomlex",NA,""
"cobrir","cobertor","cobertores","nomage: couverture","lex",""
"cobrir","cobertura","coberturas","nomlex","other; lex",""
"cogenerar","cogeneração","cogenerações","nomlex",NA,""
"coincidir","coincidência","coincidências","enwiktionary:pt",NA,""
"colaborar","colaborador",NA,NA,"agent",""
"colaborar","colaboração","colaborações","nomlex","lex",""
"colapsar","colapso","colapsos","nomage: effondrement",NA,""
"coletar","coletor","coletores","","agent",""
"coletar","coleção","coleções","nomlex",NA,""
"coletar","coleta","coletas","enwiktionary:en",NA,""
"colidir","colisão","colisões","nomlex",NA,""
"coligar","coligação",NA,"dhbb",NA,NA
"colocar","colocador","colocadores","","agent",""
"colocar","colocação","colocações","nomlex",NA,""
"colonizar","colonizador","colonizadores",NA,"agent",""
"colonizar","colonização","colonizações","nomlex",NA,""
"colorir","colorizador",NA,NA,"agent",""
"colorir","coloração","colorações","nomage: coloration",NA,""
"coludir","colusão","colusões","nomlex",NA,""
"comandar","comandante","comandantes","nomlex","agent",""
"comandar","comando","comandos","nomlex",NA,""
"combater","combate","combates","framenet",NA,""
"combinar","combinador",NA,NA,"agent",""
"combinar","combinação","combinações","nomlex","lex",""
"combustir","combustor",NA,NA,"agent",""
"combustir","combustão","combustões","nomlex","lex",""
"começar","começo","começos","nomlex",NA,""
"comemorar","comemorante","comemorantes","","agent",""
"comemorar","comemoração","comemorações","enwiktionary:pt",NA,""
"comentar","comentador","comentadores","nomlex","agent",""
"comentar","comentário","comentários","nomlex",NA,""
"comer","comedor","comedores","enwiktionary:pt","agent; lex",""
"comercializar","comercialização","comercializações","nomage: commercialisation",NA,""
"comerciar","comerciante","comerciantes","nomlex","agent",""
"comerciar","comércio","comércios","nomlex",NA,""
"comissionar","comissionário","comissionários","nomlex","agent",""
"comissionar","comissão",NA,"dhbb",NA,NA
"comparecer","comparecimento","comparecimentos","nomlex",NA,""
"compartir","compartimento","compartimentos","nomlex",NA,""
"compensar","compensação","compensações","nomlex",NA,""
"competir","competidor","competidores","enwiktionary:pt","agent",""
"competir","competição","competições","nomlex",NA,""
"compilar","compilação","compilações","nomlex",NA,""
"complementar","complemento","complementos","nomlex",NA,""
"completar","completamento","completamentos","nomlex",NA,""
"complexar","complexação","complexações","enwiktionary:en",NA,""
"complicar","complicação","complicações","nomlex",NA,""
"compor","compositor","compositores","nomlex","agent",""
"compor","composição","composições","nomlex",NA,""
"comportar","comportamento","comportamentos","nomlex",NA,""
"comprar","comprador","compradores","nomlex","agent",""
"comprar","compra","compras","nomlex",NA,""
"compreender","compreendedor","compreendedores","","agent",""
"compreender","compreensão",NA,NA,NA,""
"comprimir","compressor",NA,NA,"agent",""
"comprimir","compressão","compressões","nomlex",NA,""
"comprometer","comprometido",NA,NA,"agent",""
"comprometer","comprometimento","comprometimentos","nomlex",NA,""
"comprometer","compromisso","compromissos","nomlex",NA,""
"computar","computação","computações","nomlex","event; result; lex",""
"computar","computador","computadores","nomlex","lex",""
"comunhar","comunhão","comunhões","nomlex",NA,""
"comunicar","comunicador",NA,NA,"agent",""
"comunicar","comunicação","comunicações","nomlex",NA,""
"comutar","comutador","comutadores","nomlex","lex",""
"comutar","comutação","comutações","nomage: commutation",NA,""
"conceber","concepção","concepções","nomlex",NA,""
"conceder","concessionária",NA,NA,"agent",""
"conceder","concessão","concessões","nomlex",NA,""
"concentrar","concentrado",NA,NA,"agent",""
"concentrar","concentração","concentrações","nomlex","lex",""
"conciliar","conciliador",NA,NA,"agent",""
"conciliar","conciliação","conciliações","nomage: conciliation",NA,""
"concluir","conclusão","conclusões","nomlex",NA,""
"concordar","concordância","concordâncias","framenet",NA,""
"concorrer","concorrente",NA,NA,"agent",""
"concorrer","concorrência","concorrências","nomlex",NA,""
"concretizar","concretização","concretizações","framenet",NA,""
"concretizar","concretrização","concretrizações","nomlex",NA,""
"concursar","concurso",NA,"dhbb",NA,NA
"condenar","condenado",NA,NA,"agent",""
"condenar","condenação","condenações","nomlex","lex",""
"condensar","condensador",NA,NA,"agent",""
"condensar","condensação","condensações","nomlex","lex",""
"condescender","condescendência","condescendências","nomlex",NA,""
"condicionar","condicionador","condicionadores","nomlex","agent; lex",""
"condicionar","condição",NA,"dhbb",NA,NA
"conduzir","condutor","condutores","nomlex","agent",""
"conduzir","condução","conduções","nomlex",NA,""
"conduzir","conduta","condutas","nomlex",NA,""
"conduzir","conduto","condutos","nomlex",NA,""
"conectar","conexão","conexões","nomlex",NA,""
"confabular","confabular",NA,NA,"agent",""
"confabular","confabulação","confabulações","nomlex",NA,""
"confederar","confederado",NA,NA,"agent",""
"confederar","confederação","confederações","nomage: confédération",NA,""
"conferir","conferência",NA,"dhbb",NA,NA
"confessar","confessor",NA,NA,"agent",""
"confessar","confissão","confissões","nomlex","lex",""
"confiar","confiabilidade","confiabilidades","framenet",NA,""
"confiar","confiança","confianças","framenet",NA,""
"confidenciar","confidente",NA,NA,"agent",""
"confidenciar","confidência","confidências","nomlex","lex",""
"configurar","configuração","configurações","nomlex",NA,""
"confinar","confinamento","confinamentos","nomlex",NA,""
"confirmar","confirmação","confirmações","nomlex",NA,""
"conflagrar","conflagrador",NA,NA,"agent",""
"conflagrar","conflagração","conflagrações","nomlex",NA,""
"conflitar","conflito","conflitos","framenet",NA,""
"conformar","conformista",NA,NA,"agent",""
"conformar","conformante",NA,NA,"agent",""
"conformar","conformação","conformações","nomlex",NA,""
"conformar","conformidade","conformidades","framenet",NA,""
"confrontar","confrontação","confrontações","nomlex",NA,""
"confundir","confusão","confusões","nomlex",NA,""
"congratular","congratulação","congratulações","nomlex",NA,""
"congregar","congregação","congregações","nomlex","other; lex",""
"conhecer","conhecedor",NA,NA,"agent",""
